Restaurant_URL,Number_reviews_Unsanitary,last_4_months_Number_reviews_Unsanitary,last_4_months_Number_Of_reviews,last_4_months_AVG_NLP_Ranking_System,AVG_RankingSystem,Total_Number_Of_Reviews,AVG_RankingSystem_improvement,ImprovingNLPrating,Last_4_Months_Percentage_Unsanitary,Last_4_Months_Percentile_Unsanitary,All_Percentage_Unsanitary,All_Percentile_Unsanitary,Cause_For_Concern_Dropping_Health_Standards
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5247383-Reviews-Ma_Boyle_s_Alehouse_Eatery-Liverpool_Merseyside_England.html,1,0,12,4.56,3.9,586,0.6599999999999997,True,0.0,53.300000000000004,0.17,41.18,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5443168-Reviews-Milo_Lounge-Liverpool_Merseyside_England.html,2,0,7,3.95,3.73,495,0.2200000000000002,True,0.0,53.300000000000004,0.4,26.14,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5998696-Reviews-Frederiks-Liverpool_Merseyside_England.html,2,0,4,4.67,4.01,471,0.6600000000000001,True,0.0,53.300000000000004,0.42,25.16,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7119231-Reviews-The_Art_School-Liverpool_Merseyside_England.html,2,0,17,4.41,4.15,200,0.2599999999999998,True,0.0,53.300000000000004,1.0,6.21,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7265530-Reviews-NYL_Restaurant_Cocktail_Bar-Liverpool_Merseyside_England.html,2,0,2,2.33,3.98,605,-1.65,False,0.0,53.300000000000004,0.33,27.450000000000003,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7282351-Reviews-Chy-Liverpool_Merseyside_England.html,3,0,33,4.17,4.08,928,0.08999999999999986,True,0.0,53.300000000000004,0.32,28.43,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d731160-Reviews-Gusto_Liverpool-Liverpool_Merseyside_England.html,2,0,30,4.18,3.92,200,0.2599999999999998,True,0.0,53.300000000000004,1.0,6.21,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d775203-Reviews-Sultan_s_Palace-Liverpool_Merseyside_England.html,3,0,21,4.05,3.97,534,0.07999999999999963,True,0.0,53.300000000000004,0.56,15.690000000000001,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7886011-Reviews-Dale_Street_Kitchen_bar_by_Shino-Liverpool_Merseyside_England.html,4,0,77,3.73,4.04,859,-0.31000000000000005,False,0.0,53.300000000000004,0.47,23.200000000000003,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d794637-Reviews-Bistro_Pierre-Liverpool_Merseyside_England.html,1,0,10,4.47,3.91,200,0.5599999999999996,True,0.0,53.300000000000004,0.5,20.26,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d795815-Reviews-Villa_Romana-Liverpool_Merseyside_England.html,3,0,48,4.17,4.0,968,0.16999999999999993,True,0.0,53.300000000000004,0.31,29.409999999999997,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d829195-Reviews-Maranto_s_Restaurant-Liverpool_Merseyside_England.html,1,0,3,3.89,3.99,570,-0.10000000000000009,False,0.0,53.300000000000004,0.18,39.54,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8773510-Reviews-The_Bastion_Bar_Restaurant-Liverpool_Merseyside_England.html,1,0,0,,4.11,915,,False,,,0.11,44.769999999999996,False
https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d10536825-Reviews-Sukhothai_Thai_Restaurant_Wirral-Birkenhead_Wirral_Merseyside_England.html,1,0,1,5.0,4.29,100,0.71,True,0.0,53.300000000000004,1.0,6.21,False
https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d1089675-Reviews-Villa_Venezia-Birkenhead_Wirral_Merseyside_England.html,3,0,1,3.67,3.76,308,-0.08999999999999986,False,0.0,53.300000000000004,0.97,8.5,False
https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d14350526-Reviews-Epirus_Greek_Restaurant-Birkenhead_Wirral_Merseyside_England.html,1,0,9,3.59,3.93,192,-0.3400000000000003,False,0.0,53.300000000000004,0.52,18.3,False
https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d2163888-Reviews-Oxton_Bar_and_Kitchen-Birkenhead_Wirral_Merseyside_England.html,2,0,1,3.0,3.86,372,-0.8599999999999999,False,0.0,53.300000000000004,0.54,16.99,False
https://www.tripadvisor.co.uk/Restaurant_Review-g2139048-d1599554-Reviews-Cowshed_Restaurant-Raby_Wirral_Merseyside_England.html,3,0,0,,3.85,412,,False,,,0.73,13.07,False
https://www.tripadvisor.co.uk/Restaurant_Review-g2280500-d2280502-Reviews-Basset_Hound-Thingwall_Wirral_Merseyside_England.html,4,1,21,4.02,3.79,612,0.22999999999999954,True,4.76,3.3000000000000003,0.65,15.03,True
https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d3171365-Reviews-Sunlight_Restaurant_Bar-Bebington_Wirral_Merseyside_England.html,4,2,8,3.17,3.88,429,-0.71,False,25.0,0.8,0.93,9.15,True
https://www.tripadvisor.co.uk/Restaurant_Review-g3767364-d20252373-Reviews-Elixir_Oxton-Prenton_Wirral_Merseyside_England.html,1,0,13,4.69,4.18,112,0.5100000000000007,True,0.0,53.300000000000004,0.89,10.459999999999999,False
https://www.tripadvisor.co.uk/Restaurant_Review-g3767364-d4067520-Reviews-Caernarvon_Castle-Prenton_Wirral_Merseyside_England.html,1,0,23,3.49,3.74,452,-0.25,False,0.0,53.300000000000004,0.22,35.949999999999996,False
